;ArticleTitle;Question;Answer;DifficultyFromQuestioner;DifficultyFromAnswerer;ArticleFile;BT_Level
42;Abraham_Lincoln;what trail did lincoln use a farmers ' almanac in ?;he defended william `` duff '' armstrong;hard;hard;S08_set3_a4;Knowledge
43;Abraham_Lincoln;did abraham lincoln live in the frontier ?;yes;hard;medium;S08_set3_a4;Knowledge
44;Abraham_Lincoln;did lincoln 's wife 's family support slavery ?;yes;hard;medium;S08_set3_a4;Knowledge
45;Amedeo_Avogadro;who is most noted for his contributions to the theory of molarity and molecular weight ?;amedeo avogadro;;medium;S08_set4_a8;Evaluation
46;Amedeo_Avogadro;who graduated in ecclesiastical law at the early age of 20 and began to practice ?;amedeo avogadro;;medium;S08_set4_a8;Knowledge
47;Amedeo_Avogadro;who graduated in ecclesiastical law at the early age of 20 and began to practice ?;blah;;easy;S08_set4_a8;Knowledge
48;Amedeo_Avogadro;when did he publish another memoria ?;1821;;medium;S08_set4_a8;Knowledge
49;Amedeo_Avogadro;when did he become a professor ?;1820;;medium;S08_set4_a8;Knowledge
50;Amedeo_Avogadro;is it true that he became a professor in 1820 ?;yes;;easy;S08_set4_a8;Evaluation
51;Amedeo_Avogadro;was lorenzo romano amedeo carlo avogadro an italian savant ?;yes;;easy;S08_set4_a8;Synthesis
52;Amedeo_Avogadro;was amedeo avogadro born in turin august 9th 1776 to a noble ancient family of piedmont , italy ?;yes;;easy;S08_set4_a8;Synthesis
53;Amedeo_Avogadro;is he most noted for his contributions to the theory of molarity and molecular weight ?;yes;;easy;S08_set4_a8;Evaluation
54;Amedeo_Avogadro;was king victor emmanuel iii there to pay homage to avogadro ?;yes;;easy;S08_set4_a8;Evaluation
55;Amedeo_Avogadro;is avogadro 's number commonly used to compute the results of chemical reactions ?;yes;;easy;S08_set4_a8;Evaluation
56;Amedeo_Avogadro;did the scientific community not reserve great attention to his theory ?;yes;;easy;S08_set4_a8;Analysis
57;Amedeo_Avogadro;was king victor emmanuel iii there to pay homage to avogadro ?;yes;;easy;S08_set4_a8;Evaluation
58;Amedeo_Avogadro;can the title of this famous 1811 paper be roughly translated into english ?;yes;;easy;S08_set4_a8;Comprehension
59;Amedeo_Avogadro;what happened in 1833 ?;avogadro had been recalled to turin university;;medium;S08_set4_a8;Knowledge
60;Amedeo_Avogadro;what happened in 1833 ?;blah blah blah;;hard;S08_set4_a8;Knowledge
61;Anders_Celsius;who determined the dependence of the boiling of water with atmospheric pressure ?;anders celsius;;medium;S08_set4_a5;Analysis
62;Anders_Celsius;what is named after him ?;the celsius crater on the moon;;medium;S08_set4_a5;Knowledge
63;Anders_Celsius;when did he publish a collection ?;1733;;easy;S08_set4_a5;Knowledge
64;Anders_Celsius;is it true that he published a collection in 1738 ?;no;;easy;S08_set4_a5;Evaluation
65;Anders_Celsius;is it true that thermometer had 100 for the freezing point ?;yes;;easy;S08_set4_a5;Application
66;Anders_Celsius;was celsius born in uppsala in sweden ?;yes;;easy;S08_set4_a5;Knowledge
67;Anders_Celsius;was anders celsius ( november 27 , 1701 april 25 , 1744 ) a swedish astronomer ?;yes;;easy;S08_set4_a5;Synthesis
68;Anders_Celsius;is the celsius crater on the moon named after him ?;yes;;easy;S08_set4_a5;Knowledge
69;Anders_Celsius;who was the first to perform and publish careful experiments aiming at the definition of an international temperature scale on scientific grounds ?;anders celsius;;medium;S08_set4_a5;Evaluation
70;Anders_Celsius;the celsius crater on the moon is what ?;named after him;;medium;S08_set4_a5;Comprehension
71;Anders_Celsius;is the celsius crater on the moon named after him ?;yes;;easy;S08_set4_a5;Knowledge
72;Anders_Celsius;had his thermometer 100 for the freezing point of water and 0 for the boiling point ?;yes it had;;easy;S08_set4_a5;Comprehension
73;Anders_Celsius;was celsius born in uppsala in sweden ?;yes;;easy;S08_set4_a5;Knowledge
74;Anders_Celsius;is the celsius crater on the moon named after him ?;yes;;easy;S08_set4_a5;Knowledge
75;Anders_Celsius;did he not determine the dependence of the boiling of water with atmospheric pressure ( in excellent agreement with modern data ) ?;yes he did;;easy;S08_set4_a5;Analysis
76;Anders_Celsius;what happened from 1730 to 1744 ?;he was professor of astronomy at uppsala university;;easy;S08_set4_a5;Knowledge
77;Anders_Celsius;what happened in 1745 ?;the scale was reversed;;medium;S08_set4_a5;Knowledge
78;beetle;are beetles insects ?;yes;easy;easy;S08_set1_a8;Knowledge
79;beetle;are beetles insects ?;yes;easy;easy;S08_set1_a8;Knowledge
80;beetle;can beetles be found in polar regions ?;no;easy;hard;S08_set1_a8;Application
81;beetle;can beetles be found in polar regions ?;no;easy;easy;S08_set1_a8;Application
82;beetle;do beetles antennae function primarily as organs of smell ?;yes;easy;easy;S08_set1_a8;Comprehension
83;beetle;do beetles antennae function primarily as organs of smell ?;yes;easy;easy;S08_set1_a8;Comprehension
84;beetle;what are the three sections of a beetle ?;the head , the thorax , and the abdomen;medium;medium;S08_set1_a8;Knowledge
85;beetle;what are the three sections of a beetle ?;the head , the thorax , and the abdomen;medium;medium;S08_set1_a8;Knowledge
86;beetle;which defense mechanism uses colour or shape to deceive potential enemies ?;mimicry;medium;easy;S08_set1_a8;Knowledge
87;beetle;which defense mechanism uses colour or shape to deceive potential enemies ?;mimicry;medium;medium;S08_set1_a8;Knowledge
88;beetle;which type of beetle is a pest of potato plants ?;colorado potato beetle;medium;easy;S08_set1_a8;Knowledge
89;beetle;which type of beetle is a pest of potato plants ?;colorado potato beetle;medium;medium;S08_set1_a8;Knowledge
90;beetle;how can beetle larvae be differentiated from other insect larvae ?;their hardened , often darkened head , the presence of chewing mouthparts , and spiracles along the sides of the body;hard;medium;S08_set1_a8;Analysis
91;beetle;how can beetle larvae be differentiated from other insect larvae ?;by their hardened , often darkened head , the presence of chewing mouthparts , and spiracles along the sides of the body;hard;medium;S08_set1_a8;Analysis
92;beetle;what do beetles eat ?;some are generalists , eating both plants and animals. other beetles are highly specialised in their diet.;hard;hard;S08_set1_a8;Knowledge
93;beetle;what do beetles eat ?;they often feed on plants and fungi , break down animal and plant debris , and eat other invertebrates;hard;hard;S08_set1_a8;Knowledge
94;beetle;what are the similarities between beetles and grasshoppers ?;mouthparts;hard;medium;S08_set1_a8;Analysis
95;beetle;what are the similarities between beetles and grasshoppers ?;beetles have mouthparts similar to those of grasshoppers;hard;hard;S08_set1_a8;Analysis
96;beetle;are certain species of beetles considered pests ?;yes;easy;easy;S08_set1_a8;Knowledge
97;beetle;are certain species of beetles considered pests ?;yes;easy;easy;S08_set1_a8;Knowledge
98;beetle;is a beetle 's general anatomy uniform ?;yes;easy;medium;S08_set1_a8;Analysis
99;beetle;is a beetle 's general anatomy uniform ?;yes;easy;easy;S08_set1_a8;Analysis
100;beetle;are beetles endopterygotes ?;yes;easy;easy;S08_set1_a8;Knowledge
101;beetle;are beetles endopterygotes ?;yes;easy;easy;S08_set1_a8;Knowledge
102;beetle;how many species of beetles are there ?;350,000;medium;medium;S08_set1_a8;Knowledge
103;beetle;how many species of beetles are there ?;about 350,000;medium;medium;S08_set1_a8;Knowledge
104;beetle;when are sperm cells transferred to the female ?;during pairing;medium;hard;S08_set1_a8;Knowledge
105;beetle;when are sperm cells transferred to the female ?;during pairing;medium;medium;S08_set1_a8;Knowledge
106;beetle;what is the study of beetles called ?;coleopterology;medium;medium;S08_set1_a8;Knowledge
107;beetle;what is the study of beetles called ?;coleopterology;medium;medium;S08_set1_a8;Knowledge
108;beetle;is it possible that there are more than 350,000 species of beetles ?;yes;hard;hard;S08_set1_a8;Synthesis
109;beetle;is it possible that there are more than 350,000 species of beetles ?;yes;hard;hard;S08_set1_a8;Synthesis
110;beetle;is the adephaga suborder larger than the polyphaga suborder ?;no;hard;hard;S08_set1_a8;Knowledge
111;beetle;is the adephaga suborder larger than the polyphaga suborder ?;yes;hard;hard;S08_set1_a8;Knowledge
112;beetle;do carrion beetles eat dung ?;no;hard;medium;S08_set1_a8;Comprehension
113;beetle;do carrion beetles eat dung ?;no;hard;hard;S08_set1_a8;Comprehension
114;beetle;what are prey of various animals including birds and mammals ?;beetles.;;easy;S08_set1_a8;Knowledge
115;beetle;what was given by aristotle for the hardened shield like forewings ?;the name `` coleoptera `` .;;easy;S08_set1_a8;Knowledge
116;beetle;who or what vary greatly in form within the coleoptera ?;antennae.;;easy;S08_set1_a8;Knowledge
117;beetle;are many beetles territorial ?;yes.;;easy;S08_set1_a8;Knowledge
118;beetle;are beetles endopterygotes with complete metamorphosis ?;yes.;;easy;S08_set1_a8;Comprehension
119;beetle;oxygen is what ?;one kind of gas obtained via a tracheal system.;;too hard;S08_set1_a8;Evaluation
120;beetle;is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?;yes.;;easy;S08_set1_a8;Evaluation
121;beetle;have coleopterists formed organisations to facilitate the study of beetles ?;yes.;;easy;S08_set1_a8;Synthesis
122;beetle;is the study of beetles called coleopterology , and its practitioners are coleopterists ?;yes.;;medium;S08_set1_a8;Knowledge
123;beetle;may a single female lay from several dozen to several thousand eggs during her lifetime ?;yes.;;easy;S08_set1_a8;Synthesis
124;beetle;can beetles be found in almost all habitats ?;yes.;;easy;S08_set1_a8;Synthesis
125;beetle;what happened on plants and fungi ?;they are food to beetles.;;hard;S08_set1_a8;Knowledge
126;Calvin_Coolidge;was calvin coolidge the twenty-ninth vice president ?;no;easy;easy;S08_set3_a9;Knowledge
127;Calvin_Coolidge;was calvin coolidge the twenty-ninth vice president ?;yes;easy;easy;S08_set3_a9;Knowledge
128;Calvin_Coolidge;was calvin coolidge born in plymouth , windsor county , vermont ?;yes;easy;easy;S08_set3_a9;Evaluation
129;Calvin_Coolidge;was calvin coolidge born in plymouth , windsor county , vermont ?;yes;easy;easy;S08_set3_a9;Evaluation
130;Calvin_Coolidge;did coolidge graduate from black river academy ?;yes;easy;easy;S08_set3_a9;Analysis
131;Calvin_Coolidge;did coolidge graduate from black river academy ?;yes;easy;easy;S08_set3_a9;Analysis
132;Calvin_Coolidge;when did he drop john from his name ?;upon graduating from college;medium;medium;S08_set3_a9;Knowledge
133;Calvin_Coolidge;when did he drop john from his name ?;upon graduating from college;medium;medium;S08_set3_a9;Knowledge
134;Calvin_Coolidge;when did coolidge meet and marry grace anna goodhue ?;1905;medium;medium;S08_set3_a9;Knowledge
135;Calvin_Coolidge;when did coolidge meet and marry grace anna goodhue ?;in 1905;medium;medium;S08_set3_a9;Knowledge
136;Calvin_Coolidge;what period of rapid economic growth did the united states experience during coolidge 's presidency ?;the roaring twenties;medium;medium;S08_set3_a9;Knowledge
137;Calvin_Coolidge;what period of rapid economic growth did the united states experience during coolidge 's presidency ?;the `` roaring twenties `` ;medium;medium;S08_set3_a9;Knowledge
138;Calvin_Coolidge;what did coolidge do after graduating from amherst ?;coolidge moved to northampton , massachus08 _setts;hard;medium;S08_set3_a9;Application
139;Calvin_Coolidge;what did coolidge do after graduating from amherst ?;coolidge moved to northampton , massachus08 _setts to take up the practice of law;hard;medium;S08_set3_a9;Application
140;Calvin_Coolidge;of what state was coolidge governor ?;massachus08 _setts;hard;medium;S08_set3_a9;Knowledge
141;Calvin_Coolidge;who appointed harlan fiske stone to the supreme court ?;coolidge;hard;medium;S08_set3_a9;Application
142;Calvin_Coolidge;who appointed harlan fiske stone to the supreme court ?;coolidge;hard;hard;S08_set3_a9;Application
143;Calvin_Coolidge;was coolidge the thirteenth president of the united states ?;no;easy;easy;S08_set3_a9;Knowledge
144;Calvin_Coolidge;was coolidge the thirteenth president of the united states ?;yes;easy;easy;S08_set3_a9;Knowledge
145;Calvin_Coolidge;was calvin coolidge republican ?;yes;easy;easy;S08_set3_a9;Knowledge
146;Calvin_Coolidge;was calvin coolidge republican ?;yes;easy;easy;S08_set3_a9;Knowledge
147;Calvin_Coolidge;was calvin coolidge a governor of massachus08 _setts ?;yes;easy;medium;S08_set3_a9;Application
148;Calvin_Coolidge;was calvin coolidge a governor of massachus08 _setts ?;yes;easy;medium;S08_set3_a9;Application
149;Calvin_Coolidge;when was coolidge born ?;july 4 1872;medium;medium;S08_set3_a9;Knowledge
150;Calvin_Coolidge;when was coolidge born ?;plymouth , windsor county , vermont;medium;easy;S08_set3_a9;Knowledge
151;Calvin_Coolidge;where did coolidge 's grandfather had government offices ?;plymouth;medium;medium;S08_set3_a9;Knowledge
152;Calvin_Coolidge;where did coolidge 's grandfather had government offices ?;the town of plymouth notch;medium;hard;S08_set3_a9;Knowledge
153;Calvin_Coolidge;which state were coolidge born in ?;plymouth , windsor county , vermont;medium;medium;S08_set3_a9;Knowledge
154;Calvin_Coolidge;which state were coolidge born in ?;vermont;medium;medium;S08_set3_a9;Knowledge
155;Calvin_Coolidge;is calvin jr. older than john coolidge ?;no;hard;hard;S08_set3_a9;Evaluation
156;Calvin_Coolidge;is calvin jr. older than john coolidge ?;no;hard;hard;S08_set3_a9;Evaluation
157;Calvin_Coolidge;did coolidge get in amherst college ?;yes;hard;medium;S08_set3_a9;Knowledge
158;Calvin_Coolidge;did coolidge get in amherst college ?;yes;hard;hard;S08_set3_a9;Knowledge
159;Calvin_Coolidge;what caused calvin jr. 's death ?;heart attack;hard;hard;S08_set3_a9;Evaluation
160;Calvin_Coolidge;what caused calvin jr. 's death ?;heart attack;hard;easy;S08_set3_a9;Evaluation
161;Calvin_Coolidge;was john calvin coolidge jr. was born in las vegas ?;no;easy;easy;S08_set3_a9;Knowledge
162;Calvin_Coolidge;was john calvin coolidge jr. was born in las vegas ?;no;easy;easy;S08_set3_a9;Knowledge
163;Calvin_Coolidge;was coolidge opposed in the republican nomination for governor of massachus08 _setts in 1918 ?;yes;easy;medium;S08_set3_a9;Evaluation
164;Calvin_Coolidge;was coolidge opposed in the republican nomination for governor of massachus08 _setts in 1918 ?;no;easy;hard;S08_set3_a9;Evaluation
165;Calvin_Coolidge;did coolidge meet and marry grace anna goodhue ?;yes;easy;easy;S08_set3_a9;Synthesis
166;Calvin_Coolidge;did coolidge meet and marry grace anna goodhue ?;yes;easy;easy;S08_set3_a9;Synthesis
167;Calvin_Coolidge;what year did coolidge open his own law office ?;1898;medium;medium;S08_set3_a9;Knowledge
168;Calvin_Coolidge;what year did coolidge open his own law office ?;1898;medium;easy;S08_set3_a9;Knowledge
169;Calvin_Coolidge;what fraternity was coolidge a member of ?;phi gamma delta;medium;medium;S08_set3_a9;Evaluation
170;Calvin_Coolidge;what fraternity was coolidge a member of ?;phi gamma delta;medium;medium;S08_set3_a9;Evaluation
171;Calvin_Coolidge;in 1905 coolidge met and married whom ?;grace anna goodhue;medium;medium;S08_set3_a9;Knowledge
172;Calvin_Coolidge;in 1905 coolidge met and married whom ?;grace anna goodhue;medium;medium;S08_set3_a9;Knowledge
173;Calvin_Coolidge;why did coolidge not attend law school ?;it was too expensive;hard;hard;S08_set3_a9;Evaluation
174;Calvin_Coolidge;why did coolidge not attend law school ?;cost;hard;too hard;S08_set3_a9;Evaluation
175;Calvin_Coolidge;have there been other us presidents that have visited cuba ?;no;hard;medium;S08_set3_a9;Knowledge
176;Calvin_Coolidge;have there been other us presidents that have visited cuba ?;no;hard;medium;S08_set3_a9;Knowledge
177;Calvin_Coolidge;what years were coolidge 's two sons born in ?;1906 and 1908;hard;medium;S08_set3_a9;Knowledge
178;Calvin_Coolidge;what years were coolidge 's two sons born in ?;1906 and 1908;hard;medium;S08_set3_a9;Knowledge
179;Canada;did france cede nearly all of its colonies in europe in 1763 ?;yes.;easy;easy;S08_set2_a8;Knowledge
180;Canada;did france cede nearly all of its colonies in europe in 1763 ?;yes;easy;easy;S08_set2_a8;Knowledge
181;Canada;is canada a member of the oecd ?;yes.;easy;easy;S08_set2_a8;Knowledge
182;Canada;is canada a member of the oecd ?;yes;easy;easy;S08_set2_a8;Knowledge
183;Canada;is canada 's official language zulu ?;no.;easy;easy;S08_set2_a8;Knowledge
184;Canada;is canada 's official language zulu ?;no;easy;easy;S08_set2_a8;Knowledge
185;Canada;what is one significant non-official language ?;chinese.;medium;medium;S08_set2_a8;Knowledge
186;Canada;what is one significant non-official language ?;chinese;medium;medium;S08_set2_a8;Knowledge
187;Canada;in addition to port royal , where else did samuel de champlain establish a s08 _settlement ?;quebec city;medium;medium;S08_set2_a8;Evaluation
188;Canada;what was the consitution act formerly called ?;the british north america act.;medium;hard;S08_set2_a8;Knowledge
189;Canada;what was the consitution act formerly called ?;british north america act;medium;medium;S08_set2_a8;Knowledge
190;Canada;which countries established colonies in canada ?;france and britain.;hard;hard;S08_set2_a8;Knowledge
191;Canada;which countries established colonies in canada ?;fance and britain;hard;hard;S08_set2_a8;Knowledge
192;Canada;how has canada helped un peacekeeping efforts ?;during the suez crisis of 1956 , lester b. pearson eased tensions by proposing the inception of the united nations peacekeeping force. canada has since served in 50 peacekeeping missions , including every un peacekeeping effort until 1989;hard;medium;S08_set2_a8;Analysis
193;Canada;how has canada helped un peacekeeping efforts ?;canada has played a leading role in un peacekeeping efforts. during the suez crisis of 1956 , lester b. pearson eased tensions by proposing the inception of the united nations peacekeeping force. canada has since served in 50 peacekeeping missions , including every un peacekeeping effort until 1989;hard;hard;S08_set2_a8;Analysis
194;Canada;what percentage of the population don 't speak english or french at home ?;28 %;hard;too hard;S08_set2_a8;Knowledge
195;Canada;what percentage of the population don 't speak english or french at home ?;1.5 %;hard;hard;S08_set2_a8;Knowledge
196;Canada;is canada bilingual ?;yes.;easy;easy;S08_set2_a8;Knowledge
197;Canada;is canada bilingual ?;yes , it is.;easy;easy;S08_set2_a8;Knowledge
198;Canada;did canadian soldiers win the battle of vimy ridge in 1917 ?;yes;easy;easy;S08_set2_a8;Knowledge
199;Canada;did canadian soldiers win the battle of vimy ridge in 1917 ?;no , it did not.;easy;hard;S08_set2_a8;Knowledge
200;Canada;is an official language of canada german ?;no.;easy;easy;S08_set2_a8;Knowledge
201;Canada;is an official language of canada german ?;no , it is not.;easy;easy;S08_set2_a8;Knowledge
202;Canada;how many provinces and territories does canada have ?;a federation now comprising ten provinces and three territories;medium;medium;S08_set2_a8;Knowledge
203;Canada;how many provinces and territories does canada have ?;ten provinces and three territories;medium;medium;S08_set2_a8;Knowledge
204;Canada;what is canada 's national unemployment rate ?;while as of october 2007 , canada 's national unemployment rate of 5.9 % is its lowest in 33 years. provincial unemployment rates vary from a low of 3.6 % in alberta to a high of 14.6 % in newfoundland and labrador.;medium;medium;S08_set2_a8;Knowledge
205;Canada;what is canada 's national unemployment rate ?;in october 2007 , canada 's national unemployment rate is 5.9 %.;medium;medium;S08_set2_a8;Knowledge
206;Canada;where is the most densely populated part of canada ?;the most densely populated part of the country is the quebec city-windsor corridor along the great lakes and saint lawrence river in the southeast.;medium;medium;S08_set2_a8;Application
207;Canada;where is the most densely populated part of canada ?;the most densely populated part of the country is the quebec city-windsor corridor along the great lakes and saint lawrence river in the southeast.;medium;medium;S08_set2_a8;Application
208;Canada;what is the largest country in the world ?;canada is the second largest country in the world , after russia , and largest on the continent.;hard;medium;S08_set2_a8;Knowledge
209;Canada;what is the largest country in the world ?;russia.;hard;hard;S08_set2_a8;Knowledge
210;Canada;what is the largest religious group in canada ?;"according to 2001 census , 77.1 % of canadians identified as being christians ; of this , catholics make up the largest group ( 43.6 % of canadians ). the largest protestant denomination is the united church of canada ; about 16.5 % of canadians declare no religious affiliation , and the remaining 6.3 % were affiliated with religions other than christianity , of which the largest is islam numbering 1.9 % , followed by judaism : 1.1 %.";hard;hard;S08_set2_a8;Knowledge
211;Canada;what is the largest religious group in canada ?;christian;hard;hard;S08_set2_a8;Knowledge
212;Canada;when did canada have one of the largest armed forces in the world ?;1944.;hard;hard;S08_set2_a8;Application
213;Canada;when did canada have one of the largest armed forces in the world ?;world war ii.;hard;hard;S08_set2_a8;Application
214;Canada;what have been inhabited for millennia by aboriginal peoples ?;the lands;;easy;S08_set2_a8;Knowledge
215;Canada;european books and maps began referring to this region as canada in what year ?;1545;;easy;S08_set2_a8;Knowledge
216;Canada;what was canada 's most important industry until the 1800s ?;the fur trade;;easy;S08_set2_a8;Knowledge
217;Canada;is it true that it angered many residents of the thirteen colonies ?;yes;;easy;S08_set2_a8;Evaluation
218;Canada;how do cuba and declining participation relate ?;canada maintains full relations with both.;;easy;S08_set2_a8;Analysis
219;Canada;is it true that provinces have a large degree of autonomy ?;yes;;easy;S08_set2_a8;Analysis
220;Canada;what did canada adopt in 1965 ?;the maple leaf flag;;medium;S08_set2_a8;Knowledge
221;Canada;what arrived in britain ?;the first canadian army units in ww ii;;easy;S08_set2_a8;Knowledge
222;Canada;are canada 's two official languages english and french ?;yes;;easy;S08_set2_a8;Knowledge
223;Canada;are canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?;yes;;easy;S08_set2_a8;Knowledge
224;Canada;is canada a geographically vast and ethnically diverse country ?;yes;;easy;S08_set2_a8;Application
225;Canada;"did mainland nova scotia not come under british rule with the treaty of utrecht ( : ; ?";no !;;easy;S08_set2_a8;Application
226;Canada;did cartier not use the word ` canada ' to refer to not only that village , but the entire area subject to donnacona , chief at stadacona ?;yes;;easy;S08_set2_a8;Analysis
227;Canada;did continental european immigrants not s08 _settle the prairies ?;no;;easy;S08_set2_a8;Knowledge
228;Canada;is it the world 's second largest country by total area ?;yes;;easy;S08_set2_a8;Application
229;Canada;what happened in 1867 ?;canada was formed as a federal , semi-autonomous polity;;easy;S08_set2_a8;Knowledge
230;duck;are ducks in the arctic northern hemisphere migratory ?;some are;easy;medium;S08_set1_a10;Knowledge
231;duck;are ducks in the arctic northern hemisphere migratory ?;yes;easy;easy;S08_set1_a10;Knowledge
232;duck;is a drake a male ?;yes;easy;medium;S08_set1_a10;Evaluation
233;duck;is a drake a male ?;yes;easy;easy;S08_set1_a10;Evaluation
234;duck;do all ducks `` quack '' ?;no;easy;medium;S08_set1_a10;Knowledge
235;duck;do all ducks `` quack '' ?;no;easy;easy;S08_set1_a10;Knowledge
236;duck;what is the name of a specialized species of duck adapted to catch large fish ?;the smew;medium;medium;S08_set1_a10;Knowledge
237;duck;what animal attracts the most humor and silliness ?;the duck;medium;medium;S08_set1_a10;Evaluation
238;duck;what animal attracts the most humor and silliness ?;the duck;medium;medium;S08_set1_a10;Evaluation
239;duck;what is an economic use of a duck ?;meat;medium;medium;S08_set1_a10;Knowledge
240;duck;what is an economic use of a duck ?;being farmed for their meat;medium;medium;S08_set1_a10;Knowledge
241;duck;who is daffy duck ?;a silly cartoon character;hard;hard;S08_set1_a10;Knowledge
242;duck;who is daffy duck ?;a silly cartoon character;hard;medium;S08_set1_a10;Knowledge
243;duck;what makes it more difficult for a diving duck to fly ?;they are heavier;hard;hard;S08_set1_a10;Analysis
244;duck;what makes it more difficult for a diving duck to fly ?;they are heavier;hard;hard;S08_set1_a10;Analysis
245;duck;what are the reasons for hunting wild ducks ?;meat , eggs , and feathers;hard;too hard;S08_set1_a10;Knowledge
246;duck;do ducks forage underwater ?;yes;easy;easy;S08_set1_a10;Synthesis
