ArticleTitle	Question	Answer	DifficultyFromQuestioner	DifficultyFromAnswerer	ArticleFile
beetle	do carrion beetles eat dung ?	no	hard	medium	S08_set1_a8
beetle	do carrion beetles eat dung ?	no	hard	hard	S08_set1_a8
beetle	what are prey of various animals including birds and mammals ?	beetles.		easy	S08_set1_a8
beetle	what was given by aristotle for the hardened shield like forewings ?	the name `` coleoptera `` .		easy	S08_set1_a8
beetle	who or what vary greatly in form within the coleoptera ?	antennae.		easy	S08_set1_a8
beetle	are many beetles territorial ?	yes.		easy	S08_set1_a8
beetle	are beetles endopterygotes with complete metamorphosis ?	yes.		easy	S08_set1_a8
beetle	oxygen is what ?	one kind of gas obtained via a tracheal system.		too hard	S08_set1_a8
beetle	is there a thriving industry in the collection of beetle specimens for amateur and professional collectors ?	yes.		easy	S08_set1_a8
beetle	have coleopterists formed organisations to facilitate the study of beetles ?	yes.		easy	S08_set1_a8
beetle	is the study of beetles called coleopterology , and its practitioners are coleopterists ?	yes.		medium	S08_set1_a8
beetle	may a single female lay from several dozen to several thousand eggs during her lifetime ?	yes.		easy	S08_set1_a8
beetle	can beetles be found in almost all habitats ?	yes.		easy	S08_set1_a8
beetle	what happened on plants and fungi ?	they are food to beetles.		hard	S08_set1_a8
Calvin_Coolidge	was calvin coolidge the twenty-ninth vice president ?	no	easy	easy	S08_set3_a9
Calvin_Coolidge	was calvin coolidge the twenty-ninth vice president ?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	was calvin coolidge born in plymouth , windsor county , vermont ?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	was calvin coolidge born in plymouth , windsor county , vermont ?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	did coolidge graduate from black river academy ?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	did coolidge graduate from black river academy ?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	when did he drop john from his name ?	upon graduating from college	medium	medium	S08_set3_a9
Calvin_Coolidge	when did he drop john from his name ?	upon graduating from college	medium	medium	S08_set3_a9
Calvin_Coolidge	when did coolidge meet and marry grace anna goodhue ?	1905	medium	medium	S08_set3_a9
Calvin_Coolidge	when did coolidge meet and marry grace anna goodhue ?	in 1905	medium	medium	S08_set3_a9
Calvin_Coolidge	what period of rapid economic growth did the united states experience during coolidge 's presidency ?	the roaring twenties	medium	medium	S08_set3_a9
Calvin_Coolidge	what period of rapid economic growth did the united states experience during coolidge 's presidency ?	the `` roaring twenties `` 	medium	medium	S08_set3_a9
Calvin_Coolidge	what did coolidge do after graduating from amherst ?	coolidge moved to northampton , massachus08 _setts	hard	medium	S08_set3_a9
Calvin_Coolidge	what did coolidge do after graduating from amherst ?	coolidge moved to northampton , massachus08 _setts to take up the practice of law	hard	medium	S08_set3_a9
Calvin_Coolidge	of what state was coolidge governor ?	massachus08 _setts	hard	medium	S08_set3_a9
Calvin_Coolidge	who appointed harlan fiske stone to the supreme court ?	coolidge	hard	medium	S08_set3_a9
Calvin_Coolidge	who appointed harlan fiske stone to the supreme court ?	coolidge	hard	hard	S08_set3_a9
Calvin_Coolidge	was coolidge the thirteenth president of the united states ?	no	easy	easy	S08_set3_a9
Calvin_Coolidge	was coolidge the thirteenth president of the united states ?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	was calvin coolidge republican ?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	was calvin coolidge republican ?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	was calvin coolidge a governor of massachus08 _setts ?	yes	easy	medium	S08_set3_a9
Calvin_Coolidge	was calvin coolidge a governor of massachus08 _setts ?	yes	easy	medium	S08_set3_a9
Calvin_Coolidge	when was coolidge born ?	july 4 1872	medium	medium	S08_set3_a9
Calvin_Coolidge	when was coolidge born ?	plymouth , windsor county , vermont	medium	easy	S08_set3_a9
Calvin_Coolidge	where did coolidge 's grandfather had government offices ?	plymouth	medium	medium	S08_set3_a9
Calvin_Coolidge	where did coolidge 's grandfather had government offices ?	the town of plymouth notch	medium	hard	S08_set3_a9
Calvin_Coolidge	which state were coolidge born in ?	plymouth , windsor county , vermont	medium	medium	S08_set3_a9
Calvin_Coolidge	which state were coolidge born in ?	vermont	medium	medium	S08_set3_a9
Calvin_Coolidge	is calvin jr. older than john coolidge ?	no	hard	hard	S08_set3_a9
Calvin_Coolidge	is calvin jr. older than john coolidge ?	no	hard	hard	S08_set3_a9
Calvin_Coolidge	did coolidge get in amherst college ?	yes	hard	medium	S08_set3_a9
Calvin_Coolidge	did coolidge get in amherst college ?	yes	hard	hard	S08_set3_a9
Calvin_Coolidge	what caused calvin jr. 's death ?	heart attack	hard	hard	S08_set3_a9
Calvin_Coolidge	what caused calvin jr. 's death ?	heart attack	hard	easy	S08_set3_a9
Calvin_Coolidge	was john calvin coolidge jr. was born in las vegas ?	no	easy	easy	S08_set3_a9
Calvin_Coolidge	was john calvin coolidge jr. was born in las vegas ?	no	easy	easy	S08_set3_a9
Calvin_Coolidge	was coolidge opposed in the republican nomination for governor of massachus08 _setts in 1918 ?	yes	easy	medium	S08_set3_a9
Calvin_Coolidge	was coolidge opposed in the republican nomination for governor of massachus08 _setts in 1918 ?	no	easy	hard	S08_set3_a9
Calvin_Coolidge	did coolidge meet and marry grace anna goodhue ?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	did coolidge meet and marry grace anna goodhue ?	yes	easy	easy	S08_set3_a9
Calvin_Coolidge	what year did coolidge open his own law office ?	1898	medium	medium	S08_set3_a9
Calvin_Coolidge	what year did coolidge open his own law office ?	1898	medium	easy	S08_set3_a9
Calvin_Coolidge	what fraternity was coolidge a member of ?	phi gamma delta	medium	medium	S08_set3_a9
Calvin_Coolidge	what fraternity was coolidge a member of ?	phi gamma delta	medium	medium	S08_set3_a9
Calvin_Coolidge	in 1905 coolidge met and married whom ?	grace anna goodhue	medium	medium	S08_set3_a9
Calvin_Coolidge	in 1905 coolidge met and married whom ?	grace anna goodhue	medium	medium	S08_set3_a9
Calvin_Coolidge	why did coolidge not attend law school ?	it was too expensive	hard	hard	S08_set3_a9
Calvin_Coolidge	why did coolidge not attend law school ?	cost	hard	too hard	S08_set3_a9
Calvin_Coolidge	have there been other us presidents that have visited cuba ?	no	hard	medium	S08_set3_a9
Calvin_Coolidge	have there been other us presidents that have visited cuba ?	no	hard	medium	S08_set3_a9
Calvin_Coolidge	what years were coolidge 's two sons born in ?	1906 and 1908	hard	medium	S08_set3_a9
Calvin_Coolidge	what years were coolidge 's two sons born in ?	1906 and 1908	hard	medium	S08_set3_a9
Canada	did france cede nearly all of its colonies in europe in 1763 ?	yes.	easy	easy	S08_set2_a8
Canada	did france cede nearly all of its colonies in europe in 1763 ?	yes	easy	easy	S08_set2_a8
Canada	is canada a member of the oecd ?	yes.	easy	easy	S08_set2_a8
Canada	is canada a member of the oecd ?	yes	easy	easy	S08_set2_a8
Canada	is canada 's official language zulu ?	no.	easy	easy	S08_set2_a8
Canada	is canada 's official language zulu ?	no	easy	easy	S08_set2_a8
Canada	what is one significant non-official language ?	chinese.	medium	medium	S08_set2_a8
Canada	what is one significant non-official language ?	chinese	medium	medium	S08_set2_a8
Canada	in addition to port royal , where else did samuel de champlain establish a s08 _settlement ?	quebec city	medium	medium	S08_set2_a8
Canada	what was the consitution act formerly called ?	the british north america act.	medium	hard	S08_set2_a8
Canada	what was the consitution act formerly called ?	british north america act	medium	medium	S08_set2_a8
Canada	which countries established colonies in canada ?	france and britain.	hard	hard	S08_set2_a8
Canada	which countries established colonies in canada ?	fance and britain	hard	hard	S08_set2_a8
Canada	how has canada helped un peacekeeping efforts ?	during the suez crisis of 1956 , lester b. pearson eased tensions by proposing the inception of the united nations peacekeeping force. canada has since served in 50 peacekeeping missions , including every un peacekeeping effort until 1989	hard	medium	S08_set2_a8
Canada	how has canada helped un peacekeeping efforts ?	canada has played a leading role in un peacekeeping efforts. during the suez crisis of 1956 , lester b. pearson eased tensions by proposing the inception of the united nations peacekeeping force. canada has since served in 50 peacekeeping missions , including every un peacekeeping effort until 1989	hard	hard	S08_set2_a8
Canada	what percentage of the population don 't speak english or french at home ?	28 %	hard	too hard	S08_set2_a8
Canada	what percentage of the population don 't speak english or french at home ?	1.5 %	hard	hard	S08_set2_a8
Canada	is canada bilingual ?	yes.	easy	easy	S08_set2_a8
Canada	is canada bilingual ?	yes , it is.	easy	easy	S08_set2_a8
Canada	did canadian soldiers win the battle of vimy ridge in 1917 ?	yes	easy	easy	S08_set2_a8
Canada	did canadian soldiers win the battle of vimy ridge in 1917 ?	no , it did not.	easy	hard	S08_set2_a8
Canada	is an official language of canada german ?	no.	easy	easy	S08_set2_a8
Canada	is an official language of canada german ?	no , it is not.	easy	easy	S08_set2_a8
Canada	how many provinces and territories does canada have ?	a federation now comprising ten provinces and three territories	medium	medium	S08_set2_a8
Canada	how many provinces and territories does canada have ?	ten provinces and three territories	medium	medium	S08_set2_a8
Canada	what is canada 's national unemployment rate ?	while as of october 2007 , canada 's national unemployment rate of 5.9 % is its lowest in 33 years. provincial unemployment rates vary from a low of 3.6 % in alberta to a high of 14.6 % in newfoundland and labrador.	medium	medium	S08_set2_a8
Canada	what is canada 's national unemployment rate ?	in october 2007 , canada 's national unemployment rate is 5.9 %.	medium	medium	S08_set2_a8
Canada	where is the most densely populated part of canada ?	the most densely populated part of the country is the quebec city-windsor corridor along the great lakes and saint lawrence river in the southeast.	medium	medium	S08_set2_a8
Canada	where is the most densely populated part of canada ?	the most densely populated part of the country is the quebec city-windsor corridor along the great lakes and saint lawrence river in the southeast.	medium	medium	S08_set2_a8
Canada	what is the largest country in the world ?	canada is the second largest country in the world , after russia , and largest on the continent.	hard	medium	S08_set2_a8
Canada	what is the largest country in the world ?	russia.	hard	hard	S08_set2_a8
Canada	what is the largest religious group in canada ?	according to 2001 census , 77.1 % of canadians identified as being christians ; of this , catholics make up the largest group ( 43.6 % of canadians ). the largest protestant denomination is the united church of canada ; about 16.5 % of canadians declare no religious affiliation , and the remaining 6.3 % were affiliated with religions other than christianity , of which the largest is islam numbering 1.9 % , followed by judaism : 1.1 %.	hard	hard	S08_set2_a8
Canada	what is the largest religious group in canada ?	christian	hard	hard	S08_set2_a8
Canada	when did canada have one of the largest armed forces in the world ?	1944.	hard	hard	S08_set2_a8
Canada	when did canada have one of the largest armed forces in the world ?	world war ii.	hard	hard	S08_set2_a8
Canada	what have been inhabited for millennia by aboriginal peoples ?	the lands		easy	S08_set2_a8
Canada	european books and maps began referring to this region as canada in what year ?	1545		easy	S08_set2_a8
Canada	what was canada 's most important industry until the 1800s ?	the fur trade		easy	S08_set2_a8
Canada	is it true that it angered many residents of the thirteen colonies ?	yes		easy	S08_set2_a8
Canada	how do cuba and declining participation relate ?	canada maintains full relations with both.		easy	S08_set2_a8
Canada	is it true that provinces have a large degree of autonomy ?	yes		easy	S08_set2_a8
Canada	what did canada adopt in 1965 ?	the maple leaf flag		medium	S08_set2_a8
Canada	what arrived in britain ?	the first canadian army units in ww ii		easy	S08_set2_a8
Canada	are canada 's two official languages english and french ?	yes		easy	S08_set2_a8
Canada	are canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?	yes		easy	S08_set2_a8
Canada	is canada a geographically vast and ethnically diverse country ?	yes		easy	S08_set2_a8
Canada	did mainland nova scotia not come under british rule with the treaty of utrecht ( : ; ?	no !		easy	S08_set2_a8
Canada	did cartier not use the word ` canada ' to refer to not only that village , but the entire area subject to donnacona , chief at stadacona ?	yes		easy	S08_set2_a8
Canada	did continental european immigrants not s08 _settle the prairies ?	no		easy	S08_set2_a8
Canada	is it the world 's second largest country by total area ?	yes		easy	S08_set2_a8
Canada	what happened in 1867 ?	canada was formed as a federal , semi-autonomous polity		easy	S08_set2_a8
duck	are ducks in the arctic northern hemisphere migratory ?	some are	easy	medium	S08_set1_a10
duck	are ducks in the arctic northern hemisphere migratory ?	yes	easy	easy	S08_set1_a10
duck	is a drake a male ?	yes	easy	medium	S08_set1_a10
duck	is a drake a male ?	yes	easy	easy	S08_set1_a10
duck	do all ducks `` quack '' ?	no	easy	medium	S08_set1_a10
duck	do all ducks `` quack '' ?	no	easy	easy	S08_set1_a10
duck	what is the name of a specialized species of duck adapted to catch large fish ?	the smew	medium	medium	S08_set1_a10
duck	what animal attracts the most humor and silliness ?	the duck	medium	medium	S08_set1_a10
duck	what animal attracts the most humor and silliness ?	the duck	medium	medium	S08_set1_a10
duck	what is an economic use of a duck ?	meat	medium	medium	S08_set1_a10
duck	what is an economic use of a duck ?	being farmed for their meat	medium	medium	S08_set1_a10
duck	who is daffy duck ?	a silly cartoon character	hard	hard	S08_set1_a10
duck	who is daffy duck ?	a silly cartoon character	hard	medium	S08_set1_a10
duck	what makes it more difficult for a diving duck to fly ?	they are heavier	hard	hard	S08_set1_a10
duck	what makes it more difficult for a diving duck to fly ?	they are heavier	hard	hard	S08_set1_a10
duck	what are the reasons for hunting wild ducks ?	meat , eggs , and feathers	hard	too hard	S08_set1_a10
duck	do ducks forage underwater ?	yes	easy	easy	S08_set1_a10
duck	do ducks forage underwater ?	diving ducks and sea ducks forage underwater	easy	hard	S08_set1_a10
duck	do all ducks `` quack '' ?	no	easy	medium	S08_set1_a10
duck	do all ducks `` quack '' ?	no	easy	easy	S08_set1_a10
duck	is foie gras often made from ducks ?	yes	easy	easy	S08_set1_a10
duck	is foie gras often made from ducks ?	yes	easy	easy	S08_set1_a10
duck	what economic uses to ducks have ?	they are farmed for their meat , eggs and feathers. they are also kept and bred by aviculturists and often displayed in zoos.	medium	medium	S08_set1_a10
duck	what economic uses to ducks have ?	they can be farmed for meat , eggs , and feathers	medium	hard	S08_set1_a10
duck	what kind of ducks feed on land ?	dabbling ducks	medium	easy	S08_set1_a10
duck	what kind of ducks feed on land ?	dabbling ducks feed on land	medium	medium	S08_set1_a10
duck	what unrelated water birds are ducks sometimes confused with ?	loons or divers , grebes , gallinules , and coots	medium	easy	S08_set1_a10
duck	what unrelated water birds are ducks sometimes confused with ?	loons or divers , grebes , gallinules , and coots	medium	medium	S08_set1_a10
duck	what does the word duck mean ?	it is the common name for a number of species in the anatidae family of birds.	hard	hard	S08_set1_a10
duck	what does the word duck mean ?	to bend down low as if to get under something	hard	hard	S08_set1_a10
duck	what are some common predators of ducks ?	pike , crocodilians , herons , hawks and eagles.	hard	hard	S08_set1_a10
duck	what are some common predators of ducks ?	pike , crocodilians , and other aquatic hunters	hard	hard	S08_set1_a10
duck	how does a mallard 's tongue work ?	it 's tongue is a flat plate , and on the tongue 's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat	hard	hard	S08_set1_a10
duck	how does a mallard 's tongue work ?	it uses short spikes to push struggling prey and other food down its throat	hard	hard	S08_set1_a10
duck	are diving ducks heavier tha dabbling ducks ?	yes	easy	easy	S08_set1_a10
duck	are diving ducks heavier tha dabbling ducks ?	yes	easy	easy	S08_set1_a10
duck	are adult ducks fast fliers ?	yes	easy	easy	S08_set1_a10
duck	are adult ducks fast fliers ?	yes	easy	easy	S08_set1_a10
duck	are ducks an accepted presence in some populated areas ?	yes	easy	easy	S08_set1_a10
duck	are ducks an accepted presence in some populated areas ?	yes	easy	easy	S08_set1_a10
duck	what types of unrelated water birds with similar forms are ducks sometimes confused with ?	loons or divers , grebes , gallinules , and coots	medium	medium	S08_set1_a10
duck	what types of unrelated water birds with similar forms are ducks sometimes confused with ?	loons or divers , grebes , gallinules , and coots	medium	medium	S08_set1_a10
duck	why are ducklings particularly vulnerable ?	their inability to fly.	medium	medium	S08_set1_a10
duck	why are ducklings particularly vulnerable ?	their inability to fly makes them easy prey	medium	medium	S08_set1_a10
duck	what are some economic uses for duck ?	meat ,eggs ,feathers	medium	medium	S08_set1_a10
duck	what are some economic uses for duck ?	being farmed for their meat , eggs , feathers , ( particularly their down )	medium	medium	S08_set1_a10
duck	what allows a duck to filter water out of the side of their beaks and keep food inside ?	tiny rows of plates called lamellae	hard	hard	S08_set1_a10
duck	what allows a duck to filter water out of the side of their beaks and keep food inside ?	tiny rows of plates called lamellae like a whale 's baleen	hard	hard	S08_set1_a10
duck	what expression is part of a conceptual framework for testing computer systems ?	quacks like a duck	hard	hard	S08_set1_a10
duck	what expression is part of a conceptual framework for testing computer systems ?	quacks like a duck	hard	hard	S08_set1_a10
duck	where did the expression `` a sitting duck '' come from ?	in many areas , wild duckof various species ( including ducks farmed and released into the wild ) are hunted for food or sport , by shooting , or formerly by decoys.	hard	hard	S08_set1_a10
duck	where did the expression `` a sitting duck '' come from ?	in many areas , wild ducks of various species ( including ducks farmed and released into the wild ) are hunted for food or sport , by shooting , or formerly by decoys.	hard	hard	S08_set1_a10
Egypt	is egypt bordered by the gaza strip ?	yes	easy	easy	S08_set2_a6
Egypt	is egypt bordered by the gaza strip ?	yes	easy	medium	S08_set2_a6
Egypt	is egypt the most populated country in africa ?	no	easy	medium	S08_set2_a6
Egypt	is egypt the most populated country in africa ?	no	easy	easy	S08_set2_a6
